
29/5/2019 16:21:38 UTC    INIT: Node.js server listening on 8080
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.ade /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.adw /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.bks /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.bpk /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.cly /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.cve /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.cvw /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.dce /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.ekb /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.fhe /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.fhw /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.fir /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.gbr /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.hal /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.han /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.hkw /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.hok /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.inv /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.jme /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.kap /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.ker /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.kod /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.ksr /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.lyr /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.mcm /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.pgr /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.pyk /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.rkn /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.san /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
29/5/2019 17:5:10 UTC              SYNC: Exicuted cp /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-A/hdw.dat/hdw.test.dat/hdw.dat.sas /run/media/peters/Danno_SuperDARN/Git_Projects/Repo-B/hardware_dir/hdw.dat/hdw.test.dat/
